day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-07,20:33:52,,1,0,0,,,,,620911_Cinema - AT - [en] - Valerii,,,
2023-12-07,20:14:15,333ee4dbb8,1,0,0,888600_Find Jobs - BE - [ro], Find Jobs - BE - [ro] ,1784536296530977|1784536296521745|1784536296521729,c057ee85-d58d-4681-acb9-3e2e7fc90ddf,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 12; SM-A042F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app"
2023-12-07,20:14:20,b528bf0d28,1,0,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,c4f0e676-5f18-4815-adb6-dfbbe66ac19b,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 11; SM-A515F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.163 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/4G Channel/googleplay AppName/musical_ly app_ver"
2023-12-07,20:14:22,333ee4dbb8,0,1,0,888600_Find Jobs - BE - [ro], Find Jobs - BE - [ro] ,1784536296530977|1784536296521745|1784536296521729,c057ee85-d58d-4681-acb9-3e2e7fc90ddf,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 12; SM-A042F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app"
2023-12-07,20:14:27,333ee4dbb8,0,0,1,888600_Find Jobs - BE - [ro], Find Jobs - BE - [ro] ,1784536296530977|1784536296521745|1784536296521729,c057ee85-d58d-4681-acb9-3e2e7fc90ddf,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 12; SM-A042F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app"
2023-12-07,20:32:42,730042e048,1,0,0,888600_Find Jobs - BE - [ro], Find Jobs - BE - [ro] ,1784536296530977|1784536296521745|1784536296521729,cdfa5b66-11c4-4896-bc4f-20126e59a3e0,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 14; SM-S906B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_v"
2023-12-07,20:32:50,730042e048,0,1,0,888600_Find Jobs - BE - [ro], Find Jobs - BE - [ro] ,1784536296530977|1784536296521745|1784536296521729,cdfa5b66-11c4-4896-bc4f-20126e59a3e0,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 14; SM-S906B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_v"
2023-12-07,20:33:27,ed96e81f41,1,0,0,888600_Find Jobs - BE - [ar],Find Jobs - BE - [ar] ,1784535932164177|1784535927634977|1784535927634961,1aa3eeb7-d122-47a1-b2cc-9cc0cc63b22c,888600_Find Jobs - BE - [int] - Viktor,GR,,"Mozilla/5.0 (Linux; Android 11; SM-A505F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 trill_2023104150 JsSdk/1.0 NetType/MOBILE Channel/beta AppName/musical_ly app_version/31.4.15"
2023-12-07,20:34:19,0cfc0c16e2,1,0,0,888600_Find Jobs - BE - [tur], Find Jobs - BE - [tur] ,1784536155190322|1784536155179026|1784536155179010,3922d017-dd10-4169-8a9b-128d10b7cb16,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 11; SM-A217F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBİLE Channel/googleplay AppName/musical_ly app"
2023-12-07,20:34:47,3499db411d,1,0,0,888600_Find Jobs - BE - [tur], Find Jobs - BE - [tur] ,1784536155190322|1784536155179026|1784536155179010,de66a1a4-7efa-41ae-8555-7f4273d1969a,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 11; SM-A217F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBİLE Channel/googleplay AppName/musical_ly app"
2023-12-07,20:34:49,3499db411d,0,1,0,888600_Find Jobs - BE - [tur], Find Jobs - BE - [tur] ,1784536155190322|1784536155179026|1784536155179010,de66a1a4-7efa-41ae-8555-7f4273d1969a,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 11; SM-A217F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBİLE Channel/googleplay AppName/musical_ly app"
