day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-07,23:05:39,1bfe76cf09,1,0,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,448d274e-2cca-46bb-8ff6-10f6f64a57f5,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 11; SM-A528B Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_v"
2023-12-07,23:06:02,31c91da9e1,1,0,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,02f5b5a2-f8a3-47fa-bd35-4adfa6c5d08f,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 11; SM-A528B Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_v"
2023-12-07,23:06:06,31c91da9e1,0,1,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,02f5b5a2-f8a3-47fa-bd35-4adfa6c5d08f,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 11; SM-A528B Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_v"
2023-12-07,23:07:58,c83c5bc7c4,1,0,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,65c19b4a-8f26-4cf6-8df4-eedad8d9aca4,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 13; SM-A546B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 trill_2023000000 JsSdk/1.0 NetType/WIFI Channel/samsung_preload AppName/musical_ly app_v"
2023-12-07,23:08:16,1f08da2d30,1,0,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,ac0f2326-e9b6-4430-9ca3-82b0a27186d0,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 13; SM-A546B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 trill_2023000000 JsSdk/1.0 NetType/WIFI Channel/samsung_preload AppName/musical_ly app_v"
2023-12-07,23:08:32,c7415660db,1,0,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,972d7c8b-0ded-4b37-9bd3-eff0b19944e5,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 13; SM-A546B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 trill_2023000000 JsSdk/1.0 NetType/WIFI Channel/samsung_preload AppName/musical_ly app_v"
2023-12-07,23:11:44,0963178c12,1,0,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,f29aca14-9fc3-43df-afe8-3d40571be89f,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/es Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-07,23:11:55,0963178c12,0,1,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,f29aca14-9fc3-43df-afe8-3d40571be89f,888600_Find Jobs - BE - [int] - Viktor,BE,It Traineeship Zonder Diploma,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/es Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-07,23:14:13,1634b962c9,1,0,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,545c38a6-f756-47fd-8092-168876212fdd,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/es Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-07,23:14:16,1634b962c9,0,1,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,545c38a6-f756-47fd-8092-168876212fdd,888600_Find Jobs - BE - [int] - Viktor,BE,Find Jobs,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/es Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-07,23:14:44,642a57dece,1,0,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,e4f318ba-bec4-4651-8c44-76a1db1d62e6,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/es Region/DO isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-07,23:14:50,642a57dece,0,1,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,e4f318ba-bec4-4651-8c44-76a1db1d62e6,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/es Region/DO isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
